Adjective,Subject,mu,sigma
young,199,0.325206798742475,1.5142969836875
young,209,0.24769161115981875,0.70988060525
young,210,0.427844706063125,0.866535138875
young,229,-0.3510282029550625,0.50391570364375
young,258,-0.828595112918125,2.0926921315625
young,259,-0.04560290809766,1.2365693025625
young,321,0.4471965315675,0.9396474804375
young,334,0.2830732776655,1.0954801621875
young,355,0.60452772825625,0.879679939375
young,357,0.2221435637344,0.6090158456375
young,365,0.9539476886875,1.029408109625
hot,6,-1.900435044375,0.6442698192875
hot,25,-0.735969384388125,1.842424268875
hot,33,-1.3736893105,1.6295573755625
hot,37,-0.560105005875,0.425247326125
hot,53,-0.8401875353,1.753207666
hot,75,-0.9432225304375,1.1561302861875
hot,77,-1.13044335075,1.24454419425
hot,83,-0.68606824240625,1.4028122984375
hot,86,-1.4124062916875,1.16717862625
hot,97,-0.8438575281875,0.90199651475
hot,101,-1.3990825280625,0.9540306476875
hot,115,-1.2922489559375,0.667251019275
hot,119,-1.801307175625,0.93196591485
hot,136,-0.8318651811875,0.56561187025
hot,140,-1.70713838,1.1934597725
hot,147,-1.530756071625,0.996867405375
hot,203,-1.14849304175,1.193354996125
hot,240,-1.218130022,1.851794838125
hot,242,-1.1263603026875,1.44384379225
hot,252,-0.8359737589375,0.9248828628125
hot,255,-0.64084092194375,1.0617127028125
hot,278,-1.6483092833125,1.2523657439375
hot,282,-0.854144387,0.35345246814375
hot,299,-0.530919832025,0.591549025
hot,307,-0.3846678501845625,0.8768930983125
hot,311,-0.81799919,1.323740617625
hot,326,-1.4851394561875,1.522987501125
hot,342,-0.615720036965,1.1256696059375
hot,349,-1.8617787425,0.768273879075
hot,359,-1.5620467751875,1.3158095609375
hot,369,-1.3640121419375,1.3767225495
hot,371,-0.5021046543125,0.369954019425
hot,382,-0.9017190220625,1.1511071540625
expensive,2,-1.71900782375,0.889911920375
expensive,8,-0.12778317537680625,0.85869974706875
expensive,22,-0.65454659027625,0.8820257086875
expensive,55,-0.2458059509252125,0.7929903291625
expensive,61,-0.791599013525,1.170509652875
expensive,91,-0.2731803760759375,0.6846027215625
expensive,110,1.752829546875,0.37719084356875
expensive,121,-0.171677341597942,1.7455694985625
expensive,128,-0.72946252370625,1.4338836215625
expensive,141,-0.60880272678125,0.3541120286875
expensive,153,-0.39268026269875,0.9095203660625
expensive,163,-0.60366565227375,1.2133793338125
expensive,174,-0.2724724921572125,0.5098599593625
expensive,193,-0.8562253644682063,3.99000663
expensive,206,-0.469710311809375,1.2960091345
expensive,224,-0.270615718781125,1.103023721875
expensive,265,-0.2638456281092875,0.789973619375
expensive,268,-0.29769358192596873,1.780636602375
expensive,274,-0.854187481525,0.7079540175875
expensive,277,-0.596536743893125,1.6069389940625
expensive,286,0.72886179144375,0.7863361906875
expensive,298,-0.07711238713986125,0.81283427096875
expensive,302,-0.3768305597655625,1.333192869125
expensive,303,-0.9587806621875,1.361138433625
expensive,309,-0.23816484344897812,0.734983042275
expensive,329,0.4116160005001875,1.8956065210625
expensive,336,-0.505021406883125,1.0497199103125
expensive,340,-0.14865591828453126,1.6057650635
expensive,366,0.172451550907575,2.032170999875
large,12,1.0565727286875,1.352244953375
large,29,-0.21810214804449374,0.7509078628125
large,30,-0.62563231565,0.9740732709375
large,59,-0.02403536505320625,0.6120519221875
large,60,-2.049732301875,0.41181299475625
large,65,-0.19227298285946876,0.666650038125
large,73,0.2331919204466875,0.61709506935625
large,75,-0.3963892947333125,1.318851658125
large,80,0.24261089426683125,0.9957961406875
large,94,0.310261649778625,1.2298341689375
large,96,1.087493585975,2.9516867474375
large,133,0.026047184008825625,0.74617214395
large,140,-0.344900212453125,0.497135047775
large,149,-0.59036553631875,0.33998683241875
large,156,0.343557467071875,1.397593070375
large,171,-0.33342866958740625,0.5024165729875
large,173,-0.132346982073845,1.0556442455
large,176,-0.04452671375338563,1.02855222275
large,226,-1.5685089695625,1.42614886375
large,227,-0.557697499771875,1.1396298355625
large,250,0.539236585488125,0.63513639025625
large,251,0.06633318987853375,1.292906578
large,264,-0.6626993585563125,2.33176056725
large,275,-0.18595548000382,0.86143647503125
large,287,0.7476156166625,0.8691147543125
large,332,0.86985875025,0.42941649363125
large,361,-0.9730064928125,0.5722470704125
large,362,0.09409742313038813,0.64612834305625
large,370,-0.2909515597025625,1.2980752594375
large,374,-0.53867817951875,0.9567572875625
large,377,-0.222032613473525,0.8958765263125
late,3,-0.019300889464548124,0.2698053122875
late,5,-0.018412760129994377,0.211858847853125
late,9,-0.548982508375,0.10841874447375
late,14,-0.394861450375,0.19045045335
late,17,-0.4756541134375,0.1619415084875
late,41,-0.12972758297541875,0.4349572568
late,68,-0.451467219625,0.1705192308625
late,74,-0.548115031125,0.108288725735
late,75,-0.4879759886875,0.1575154141575
late,90,-0.5479742255,0.1084028460575
late,114,0.014193860254109375,0.14343987707875
late,122,-0.6648160019375,0.09495978238875
